Input,distal,proximal
raw/vivo/cone-GIP03-30July2023/Pre-ablation_1,18,19
raw/vivo/cone-GIP03-30July2023/Pre-ablation_2,18,19
raw/vivo/cone-GIP03-30July2023/Attempted_Pre-ablation_3,18,19
raw/vivo/cone-GIP03-30July2023/Pre-ablation_3,18,19
raw/vivo/cone-GIP03-30July2023/Pre-ablation_4,18,19
raw/vivo/cone-GIP03-30July2023/Pre-ablation_5,18,19
raw/vivo/cone-GIP03-30July2023/Pre-ablation_6,18,19
raw/vivo/cone-GIP01-27May2023/Pre-ablation_1,16,17
raw/vivo/cone-GIP01-27May2023/Pre-ablation_2,16,17
raw/vivo/cone-GIP01-27May2023/Pre-ablation_3,16,17
raw/vivo/cone-GIP01-27May2023/Post-ablation_3_first,18,19
raw/vivo/cone-GIP01-27May2023/Post-ablation_3_second,18,19
